
Using cpu device
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 14.5     |
|    ep_rew_mean     | 569      |
| time/              |          |
|    fps             | 56       |
|    iterations      | 1        |
|    time_elapsed    | 7        |
|    total_timesteps | 400      |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 14.8         |
|    ep_rew_mean          | 679          |
| time/                   |              |
|    fps                  | 20           |
|    iterations           | 2            |
|    time_elapsed         | 39           |
|    total_timesteps      | 800          |
| train/                  |              |
|    approx_kl            | 6.611614e-07 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -5.35        |
|    explained_variance   | 0.00031      |
|    learning_rate        | 0.0001       |
|    loss                 | 9.25e+04     |
|    n_updates            | 10           |
|    policy_gradient_loss | -0.000557    |
|    value_loss           | 2.06e+05     |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 14.8          |
|    ep_rew_mean          | 603           |
| time/                   |               |
|    fps                  | 16            |
|    iterations           | 3             |
|    time_elapsed         | 72            |
|    total_timesteps      | 1200          |
| train/                  |               |
|    approx_kl            | 1.8590234e-07 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -5.34         |
|    explained_variance   | -6.1e-05      |
|    learning_rate        | 0.0001        |
|    loss                 | 1.43e+05      |
|    n_updates            | 20            |
|    policy_gradient_loss | -0.000244     |
|    value_loss           | 3.21e+05      |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 14.9         |
|    ep_rew_mean          | 617          |
| time/                   |              |
|    fps                  | 15           |
|    iterations           | 4            |
|    time_elapsed         | 101          |
|    total_timesteps      | 1600         |
| train/                  |              |
|    approx_kl            | 7.882223e-07 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -5.19        |
|    explained_variance   | -0.000505    |
|    learning_rate        | 0.0001       |
|    loss                 | 6.84e+04     |
|    n_updates            | 30           |
|    policy_gradient_loss | -0.000489    |
|    value_loss           | 1.31e+05     |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 15.1          |
|    ep_rew_mean          | 626           |
| time/                   |               |
|    fps                  | 15            |
|    iterations           | 5             |
|    time_elapsed         | 131           |
|    total_timesteps      | 2000          |
| train/                  |               |
|    approx_kl            | 4.1599077e-07 |
|    clip_fraction        | 0             |
